Nome|Difficolta|Costo|Diete|Ingredienti

Biscottini animaletti salati|Facile|Basso|Vegetariano; |Parmigiano Reggiano DOP; Sale; Burro; Farina; Latte; Semi di sesamo nero; 

Bicchierini alla birra con crema al parmigiano|Facile|Basso|Vegetariano; |Birra analcolica; Farina 00; Burro; Latte intero; Parmigiano Reggiano DOP; Farina 00; Burro; Pere Williams; Zucchero di canna; Burro; Succo di limone; Parmigiano Reggiano DOP; 

Chupitos di melone con fagottini di feta|||Vegetariano; |Melone; Olio extravergine d'oliva; Sale fino; Pepe nero; Pasta fillo; Feta; Pomodorini datterini; Olive nere; Cipolle rosse di Tropea; Erba cipollina; Olio extravergine d'oliva; Sale fino; Olio di semi di arachide; 

Strudel lasagna|Facile|Basso||Farina Manitoba; Farina 00; Acqua; Olio extravergine d'oliva; Lievito di birra fresco; Sale fino; Malto; Maiale; Manzo; Brodo vegetale; Vino rosso; Concentrato di pomodoro; Burro; Carote; Cipolle; Sedano; Latte intero; Burro; Farina 00; Sale fino; Noce moscata; Uova; Semi di sesamo; 

Crostata salata ai fichi|Media|Elevato||Burro; Farina 00; Uova; Sale grosso; Formaggio fresco spalmabile; Robiola; Fichi; Prosciutto crudo; Zucchero integrale di canna; Noci pecan; Scorza di limone; Latte intero; Pepe nero; 

Sfilati alle olive avvolti in mortadella e robiola|Molto facile|||Mortadella; Robiola; Latte intero; Pistacchi; La Bottega di Olivia&Marino; 

Mini angeliche salate di sfoglia|Facile|Medio|Vegetariano; |Pasta Sfoglia; Zucca delica; Verza; Grana Padano DOP; Finocchietto selvatico; Curcuma in polvere; Pepe nero; Sale fino; Uova; Panna fresca liquida; Semi di lino; 

Finger food anguria e caprino|Molto facile||Senza glutine; Vegetariano; |Cocomero (anguria); Caprino; Erba cipollina; Sale fino; Pepe nero; Olio extravergine d'oliva; 

Cuoppo di cacio e fiori|Facile|Basso|Vegetariano; |Fiori di zucca; Acqua; Farina 00; Lievito di birra fresco; Sale fino; Zucchero; Olio di semi di arachide; Caciocavallo; Farina 00; Pangrattato; Uova; 

Sfoglie classiche con crema al parmigiano e filetti di speck|Molto facile|||La Bottega di Olivia&Marino; Speck; Latte intero; Parmigiano Reggiano DOP; Farina 00; Burro; 

Toast al tonno e crescenza|Molto facile|Basso||Tonno sott'olio; Crescenza; Pane per tramezzini; Cipolle rosse di Tropea; Zucchero; Acqua; Pomodorini ciliegino; Timo; Origano; Olio extravergine d'oliva; 

Mini tatin ai funghi|Facile|Medio|Vegetariano; |Burro; Farina 00; Acqua; Timo; Rosmarino; Sale fino; Funghi porcini; Funghi champignon; Carote; Prezzemolo; Aglio; Burro; Sale fino; Pepe nero; Grana Padano DOP; Burro; 

Cotolette di mela ripiene|Facile|||Mele Fuji; Pane raffermo; Asiago; Speck; Uova; Timo; Sale fino; Pepe nero; 

Amuse-bouche di polenta e capasanta|Facile|||Farina di mais integrale per polenta istantanea; Capesante; Mele Granny Smith; Acqua; Brandy; Zucchero di canna; Olio extravergine d'oliva; Sale fino; Pepe bianco; Menta; 

Spianatine con fave e zucchine trifolate|Molto facile|Basso|Senza lattosio; |La Bottega di Olivia&Marino; Fave; Zucchine; Aglio; Prezzemolo; Olio extravergine d'oliva; Sale fino; Pepe nero; 

Sfogliata multigusto al tonno|Facile|||Tonno sott'olio; Pasta Sfoglia; Polpa di pomodoro; Olive taggiasche; Caciocavallo; Erba cipollina; Rosmarino; Timo; Cipolle rosse; Funghi champignon; Sale fino; Olio extravergine d'oliva; 

Castagnole salate|Facile|Medio|Vegetariano; |Parmigiano Reggiano DOP; Farina 00; Zucchero; Lievito istantaneo per preparazioni salate; Sale fino; Uova; Burro; Grappa; Olio di semi di arachide; Zucca mantovana; Castelmagno; Mascarpone; Aglio; Acqua; Sale fino; Pepe nero; Olio extravergine d'oliva; 

Sfogliatine peperoni e gorgonzola|Facile|Basso|Vegetariano; |Pasta Sfoglia; Peperoni verdi; Gorgonzola; Olio extravergine d'oliva; Sale fino; Pepe nero; Uova; 

Schiacciate con involtini di San Daniele|Molto facile|||La Bottega di Olivia&Marino; Prosciutto crudo; Robiola; Erba cipollina; Menta; Basilico; 

Fagottino alle mele e culatello|Facile||Senza lattosio; |Mele Fuji; Pasta Sfoglia; Culatello; Zucchero di canna; Succo d'arancia; Granella di nocciole; Uova; 

Crostini di finferli e groviera|Facile|Medio|Vegetariano; |Pane; Prezzemolo; Aglio; Olio extravergine d'oliva; Sale fino; Funghi finferli (gallinacci); Groviera; Pepe nero; 

Caprese decadente|Facile|Basso|Vegetariano; |Burrata; Basilico; Sale; Pomodorini ciliegino; Farina 00; Acqua; Semi di papavero; Sale fino; Farina 00; Olio di semi di arachide; Farina di riso; Farina 00; Olio extravergine d'oliva; Acqua; Sale fino; 

Gamberi all'arancia su crema di zucca|Facile|Medio|Senza lattosio; |Zucca violina; Acqua; Timo; Olio extravergine d'oliva; Sale fino; Gamberi; Succo d'arancia; Olio extravergine d'oliva; 

Panzerotti alla crema di pomodori secchi e scamorza|Facile|||Dischetti di pasta; Pomodori secchi sott'olio; Scamorza (provola); Acciughe sott'olio; Albumi; Olio di semi; 

Tartellette di enkir con patate e cicoria|Facile|Basso|Vegetariano; |Farina di enkir; Cicoria; Burro; Acqua; Sale fino; Patate; Cicoria; Latte intero; Semi di finocchio; Aglio; Olio extravergine d'oliva; Sale fino; Pepe nero; 

Schiacciate con carpaccio di manzo, rucola e sbrinz|Molto facile|||La Bottega di Olivia&Marino; Manzo; Sbrinz; Succo di limone; Olio extravergine d'oliva; Rucola; Parmigiano Reggiano DOP; Pecorino; Pinoli; Aglio; Olio extravergine d'oliva; Sale fino; 

Spiedini di gnocchi gratinati|Facile|Basso|Vegetariano; |Burro; Montasio; Grana Padano DOP; Patate; Farina 00; Sale fino; Tuorli; Patate; Spinaci; Farina 00; Sale fino; 

Schiacciate con crema di squacquerone e culatello|Facile|||Schiacciate al forno; Squacquerone; Culatello; Panna fresca liquida; Pepe verde; Aceto balsamico; Olio extravergine d'oliva; Sale fino; 

Friselle con cotechino e lenticchie|Facile|Medio||Friselle; Cotechino precotto; Lenticchie secche; Cicoria; Sedano; Carote; Aglio; Peperoncino fresco; Alloro; Olio extravergine d'oliva; Sale fino; Pepe nero; 

Rolls con Grana Padano e verdure|Facile|||Pasta per la pizza; Pasta Sfoglia; Catalogna; Funghi champignon; Grana Padano DOP; Mandorle in scaglie; Aglio; Olio extravergine d'oliva; Sale fino; Pepe nero; 

Tortini alle tre carote|Media|Medio|Vegetariano; |Carote; Carote viola; Carote gialle; Riso Carnaroli; Brodo vegetale; Porri; Curry; Scorza di limone; Menta; Burro; Parmigiano Reggiano DOP; Olio extravergine d'oliva; Sale fino; Tomini; Tomini; Panna fresca liquida; Latte intero; Germogli di soia; 

Sfoglie classiche con pere e speck|Facile|Basso|Senza lattosio; |La Bottega di Olivia&Marino; Speck; Pere Williams; Acqua; Rosmarino; 

Millefoglie di cotechino e lenticchie|Facile|Basso||Pasta Sfoglia; Rosmarino; Olio extravergine d'oliva; Cotechino; Carote; Cipolle; Sedano; Pepe nero in grani; Sale grosso; Lenticchie; Sedano; Carote; Cipolle; Sale fino; Pepe nero; 

Albicocche in sfoglia|Facile|Basso|Vegetariano; |Albicocche; Pasta Sfoglia; Scamorza (provola); Tuorli; Latte intero; Semi di lino; Pepe rosa in grani; 

Crocchette di polpo su crema di patate allo zafferano|Facile||Polpo; Pane; Pangrattato; Pecorino; Uova; Scorza di limone; Paprika dolce; Origano; Sale fino; Pepe nero; Olio di semi di girasole; Patate; Acqua; Zafferano; Olio extravergine d'oliva; Sale fino; Pepe nero; 

Schiacciate con pecorino sardo e miele|Facile|Medio||Schiacciate al forno; Pecorino sardo; Miele di corbezzolo; Mirto; Rosmarino; Brodo vegetale; 

Involtini di verza su schiacciate|Facile||Senza lattosio; |La Bottega di Olivia&Marino; Verza; Maiale; Cipolle; Porri; Finocchietto selvatico; Timo; Carote; Olio extravergine d'oliva; Sale fino; Pepe nero; 

Schiacciate con nduja e olive nere infornate|Molto facile||Senza lattosio; |La Bottega di Olivia&Marino; Nduja; Olive nere infornate; Timo; 

Caponata su sfoglie alle olive|Media|Basso||Sfoglie alle olive; Ricotta salata; Melanzane; Aceto di vino bianco; Zucchero; Capperi sott'olio; Pinoli; Pomodori; Olio extravergine d'oliva; Cipolle; Olive verdi; Sale grosso; Sedano; 

Schiacciate con peperoni e scamorza|Molto facile|Basso||Schiacciate al forno; Peperoni rossi; Scamorza (provola); Aglio; Pecorino; Pangrattato; Origano; Olio extravergine d'oliva; Peperoni gialli; 

Cono di capocollo ripieno su sfoglie classiche|Facile|||Caprino; Menta; La Bottega di Olivia&Marino; Aneto; Pepe nero; Sale fino; Capocollo; Menta; Aneto; 

Schiacciate con cime di rapa piccanti e salsiccia|Molto facile|Basso||Cime di rapa; Salsiccia; Peperoncino fresco; Aglio; Olio extravergine d'oliva; Sale fino; La Bottega di Olivia&Marino; 

Caramelle di brisa con bresaola robiola e pistacchi|Media|Basso||Burro; Farina 0; Acqua; Bresaola; Robiola; Pistacchi; Uova; Granella di pistacchi; 

Sfoglie alle olive con zucchine trifolate|Facile|Basso||Sfoglie alle olive; Zucchine; Aglio; Pinoli; Olio extravergine d'oliva; Brodo vegetale; Basilico; 

Gazpacho allaanguria|Facile|Basso|Vegetariano; |Cocomero (anguria); Pomodori ramati; Peperoni rossi; Cipolle bianche; Aceto di vino rosso; Olio extravergine d'oliva; Farina di mandorle; Sale fino; Pepe nero; Caprino; Panna fresca liquida; Mandorle in scaglie; Fiori eduli; Menta; 

Pane ripieno di lardo e fichi|Media|Medio|Senza lattosio; |Acqua; Farina Manitoba; Farina 00; Lievito di birra fresco; Olio extravergine d'oliva; Sale fino; Malto; Fichi; Lardo di Colonnata; 

Polpette pere e Blu di capra|Facile|Medio|Vegetariano; |Pere abate; Pane integrale multi-cereali; Scorza di limone; Pecorino romano; Gherigli di noci; Sale fino; Pepe nero; Blu di Capra; Uova; Sale fino; Pane integrale multi-cereali; Rosmarino; Olio di semi; 

Schiacciate con porchetta e provolone|Facile|||Schiacciate al forno; Porchetta; Provolone; Olio extravergine d'oliva; Aglio; Rosmarino; Semi di finocchio; Pepe nero; Songino; 

Blinis di mais con skyr, avocado e pomodorini arrosto|Facile|||Farina di mais fioretto; Farina 00; Lievito istantaneo per preparazioni salate; Latte intero; Uova; Albumi; Olio extravergine d'oliva; Sale fino; Pomodorini ciliegino; Olio extravergine d'oliva; Avocado; Skyr; Sale fino; Succo di limone; Pepe bianco; Origano; Origano; 

Millefoglie di tofu e melanzane|Facile|Basso|Senza lattosio; Vegetariano; |Tofu; Melanzane; Basilico; Pomodori pizzutelli; Olio extravergine d'oliva; Salsa di soia; Sale fino; Pepe nero; Olio di semi di arachide; 

Panzerotti con ricotta e cime di rapa|Molto facile|Basso|Vegetariano; |Dischetti di pasta; Ricotta; Cime di rapa; Peperoncino fresco; Sale fino; Pepe nero; 

Frittelle di mais con chutney di pomodori|Facile|Basso|Vegetariano; |Farina 00; Farina di mais fioretto; Lievito istantaneo per preparazioni salate; Uova; Latte intero; Cipollotto fresco; Mais; Sale fino; Pepe nero; Prezzemolo; Pomodori ramati; Zucchero di canna; Aceto di mele; Porri; Sale fino; Peperoncino fresco; Olio di semi di girasole; 

Sfoglie alle olive con insalata di pollo al verde|Facile|Basso|Senza lattosio; |La Bottega di Olivia&Marino; Petto di pollo; Cipolle bianche; Carote; Alloro; Chiodi di garofano; Sale grosso; Prezzemolo; Basilico; Olive verdi; Capperi; Aglio; Olio extravergine d'oliva; Sale fino; Succo di limone; 

Torta di panettone gastronomico|Facile|Basso||Panettone; Chevre; Ricotta vaccina; Prosciutto cotto; Bresaola; Latte intero; Parmigiano Reggiano DOP; Rosmarino; Olio extravergine d'oliva; Sale fino; Pepe nero; 

Gelo di pomodoro|Molto facile|Basso|Senza lattosio; |Pomodori ramati; Gelatina in fogli; Concentrato di pomodoro; Tabascoa; Sale fino; Sedano; Olio extravergine d'oliva; Sale fino; Pepe nero; 

Bocconcini di pane alle carote|Media|Basso|Senza lattosio; Vegetariano; |Farina di grano saraceno; Farina 00; Acqua; Carote; Lievito di birra fresco; Olio extravergine d'oliva; Sale fino; Carote; 

Sfilati al pomodoro con zucchine grigliate e crema al parmigiano|Facile|Basso||Sfilati al pomodoro al forno; Zucchine; Parmigiano Reggiano DOP; Burro; Vino bianco; Sale fino; Pepe nero; 

Gamberi saltati in salsa teriyaki con taccole e carotine|Facile||Senza lattosio; |Gamberi; Taccole; Carote baby; Salsa teriyaki; Olio extravergine d'oliva; Timo; Pepe nero; 

Sfilati alle olive con prosciutto crudo e Montasio|Facile|Medio||Sfilati con olive al forno; Montasio; Burro; Farina; Latte; Panna fresca liquida; Sale; Pepe; Prosciutto; 

Piadina con sarde fritte e burrata|Facile|Medio||Piadine; Sarde; Burrata; Pomodorini gialli; Insalata misticanza; Farina 00; Farina di riso; Semola; Sale fino; Olio di semi; 

Sfilati con crema delicata al tartufo|Molto facile|Medio||La Bottega di Olivia&Marino; Patate; Latte intero; Tartufi; Sale fino; Pepe nero; Noce moscata; 

Sfoglia tex-mex|Molto facile|Basso||Sfoglie croccanti al forno; Peperoncino verde piccante; Groviera; 

Spianatine con cipolle e formaggio|Facile|Basso||La Bottega di Olivia&Marino; Cipolle rosse di Tropea; Vino bianco; Formaggio fresco al peperoncino; Zucchero; Zucchero di canna; Chiodi di garofano; Alloro; Cognac; 

Schiacciate con pollo alla paprika e peperoni rossi|Molto facile|Basso|Senza lattosio; |La Bottega di Olivia&Marino; Petto di pollo; Peperoni rossi; Paprika dolce; Timo; Olio extravergine d'oliva; Sale fino; Pepe nero; 

Crostone burro e sardine|Facile||Senza lattosio; |Sardine sott'olio; Pane casereccio; Burro salato; Pesche; Prezzemolo; 

Torcelli con tzatziki smirneico|Facile||Aceto di vino bianco; Olio extravergine d'oliva; Aglio; Aneto; Cetrioli; Yogurt greco; Sale fino; La Bottega di Olivia&Marino; Olive nere; 

Fritto misto di frutta|Facile|Basso||Papaya; Bananito; Ananas; Fragole; Farina di mais fioretto; Farina 00; Latte intero; Cannella in polvere; Olio di semi di girasole; Zucchero; 

Sfoglie con crema obatzda e paprika|Facile|||La Bottega di Olivia&Marino; Stracchino; Cipollotto fresco; Burro; Pepe nero; Birra chiara; Paprika dolce; Camembert; 

Torta pallone salata|Media|Medio||Farina Manitoba; Farina 00; Burro; Lievito di birra secco; Zucchero; Grana Padano DOP; Acqua; Latte intero; Sale fino; Noce moscata; Uova; Tuorli; Formaggio fresco spalmabile; Olio extravergine d'oliva; Panna fresca liquida; Grana Padano DOP; Prosciutto crudo; Basilico; Sale fino; Pepe nero; Noce moscata; Prosciutto crudo; Lattuga; Pomodori ramati; Burro; Farina 00; Latte intero; Fontina; Sale fino; Peperoni rossi; Peperoni verdi; 

Schiacciate con cozze, bottarga e scorza di limone|Molto facile|Medio|Senza lattosio; |La Bottega di Olivia&Marino; Cozze; Bottarga di muggine; Scorza di limone; Aglio; Olio extravergine d'oliva; Pepe nero; 

Crema salata con funghi e pancetta|Media|Medio||Pancetta affumicata; Asiago; Funghi champignon; Uova; Panna fresca liquida; Latte intero; Zafferano; Sale fino; Pepe nero; Olio extravergine d'oliva; 

Spianatine con pomodorino ripieno di formaggio e rucola|Facile|||Spianatine con pomodorini scarpariello; Pomodorini ciliegino; Rucola; Olio extravergine d'oliva; Grana Padano DOP; Pinoli; Caprino; Caprino; Erba cipollina; Sale fino; Pepe nero; Olive verdi; 

Caprese di stracchino e pomodori confit con cialda al basilico|Media||Vegetariano; |Stracchino; Basilico; Pomodorini ciliegino; Olio extravergine d'oliva; Sale fino; Zucchero; Pepe nero; Basilico; Acqua; Olio di semi di mais; Burro; Sale fino; Amido di mais (maizena); 

Sfilati con fonduta al pepe nero|Facile|Basso||La Bottega di Olivia&Marino; Taleggio; Latte intero; Noce moscata; Pepe nero; Sale fino; 

Sfoglia classica con carciofi e gamberetti|Molto facile|Basso|Senza lattosio; |La Bottega di Olivia&Marino; Carciofi; Gamberetti; Aglio; Limoni; Olio extravergine d'oliva; Sale fino; Pepe nero; 

Sfoglie alle olive con polpettine di radicchio e crema di yogurt|Facile|Basso||La Bottega di Olivia&Marino; Radicchio; Manzo; Grana Padano DOP; Pangrattato; Tuorli; Aglio; Olio extravergine d'oliva; Sale fino; Pepe nero; Olio di semi di arachide; Yogurt greco; Timo; Maggiorana; Sale fino; 

Roselline di crudo su sfoglie classiche|Facile|||Prosciutto crudo; Caprino; Menta; Aneto; Pepe nero; Sale fino; Olio extravergine d'oliva; La Bottega di Olivia&Marino; Menta; Aneto; 

Spianatine con gamberetti aglio olio e peperoncino|Molto facile|Basso|Senza lattosio; |La Bottega di Olivia&Marino; Gamberetti; Peperoncino fresco; Aglio; Olio extravergine d'oliva; Sale fino; 

Torretta caprese su schiacciate|Molto facile|||Schiacciate al forno; Mozzarella di bufala; Pomodori San Marzano; Olio extravergine d'oliva; Basilico; Sale fino; Pepe nero; 

Sfilati con purea di fave e pancetta|Facile|Basso|Senza lattosio; |La Bottega di Olivia&Marino; Pancetta; Fave; Brodo vegetale; Scalogno; Olio extravergine d'oliva; Sale fino; Pepe nero; 

Sfoglie con crema di lenticchie e cotechino |Molto facile|Basso||La Bottega di Olivia&Marino; Lenticchie; Sale; Pepe; Cotechino; Rosmarino; Cipolle; Carote; Sedano; Olio di oliva; 

Sfoglie con Caciocavallo e tartufo|Facile|Elevato||Sfoglie croccanti al forno; Tartufo nero; Caciocavallo; Olio extravergine d'oliva; Aglio; Acciughe sott'olio; 

Torcelli con crema di lenticchie e guanciale|Facile|Basso||La Bottega di Olivia&Marino; Lenticchie secche; Burro; Cipolle; Sale fino; Pepe nero; Guanciale; Olio extravergine d'oliva; Brodo vegetale; 

Sfoglie alle olive con pomodoro e briciole di feta|Molto facile|||Sfoglie alle olive; Cipolle rosse; Olive nere; Pomodorini ciliegino; Feta; Olio extravergine d'oliva; Sale fino; Basilico; 

Sfilati alle olive con porcini e lardo|Facile|Medio||Sfilati con olive al forno; Funghi porcini; Panna fresca liquida; Lardo di Colonnata; Aglio; Burro; Prezzemolo; Timo; Sale fino; Pepe nero; 

Capesante e pere in sfoglia di Grana Padano|Media||Senza glutine; |Capesante; Ribes; Acqua; Burro chiarificato; Olio extravergine d'oliva; Sale fino; Pere Williams; Grana Padano DOP; Pepe nero; Uva bianca; Ribes; Olio extravergine d'oliva; Sale fino; Pepe nero; 

Carciofi e salame su sfoglie alle olive|Facile|Basso||Sfoglie alle olive; Carciofi; Aglio; Olio extravergine d'oliva; Salame; Basilico; Pepe nero; Sale fino; 

Zucche misteriose di Halloween|Media|Basso||Acqua; Burro; Farina 00; Sale fino; Uova; Parmigiano Reggiano DOP; Coloranti alimentari; Formaggio fresco; Prosciutto cotto; Latte; Parmigiano Reggiano DOP; Sale fino; Formaggio fresco; Coloranti alimentari; 

Ostriche gratinate ai funghi|Molto facile|Molto elevata||Ostriche; Funghi champignon; Scalogno; Prezzemolo; Pane; Succo di limone; Burro; Pepe bianco; Olio extravergine d'oliva; 

Castagnole salate al rosmarino|Facile|Basso|Vegetariano; |Farina 00; Burro; Parmigiano Reggiano DOP; Provola; Vino bianco secco; Uova; Lievito istantaneo per preparazioni salate; Rosmarino; Sale fino; Olio di semi; 

Crostino ai fichi|Molto facile|Basso||Pane di segale; Fichi; Ricotta di capra; Panna fresca liquida; Gherigli di noci; Finocchietto selvatico; Sale fino; Pepe nero; 

Torretta gastronomica|Facile|||Pancarra; Zucchine; Gamberi; Salmone affumicato; Prosciutto cotto; Prosciutto cotto; Insalata misticanza; Olio extravergine d'oliva; Sale fino; Pepe nero; Formaggio fresco spalmabile; Panna fresca liquida; Erba cipollina; Aglio; Sale fino; Pepe nero; 

Sfoglie classiche con briciole di salsiccia|Facile|Molto basso||La Bottega di Olivia&Marino; Olio extravergine d'oliva; Finocchietto selvatico; Salsiccia; 

Fasolari ripieni alle erbe|Facile|Medio|Senza lattosio; Light; |Fasolari; Pangrattato; Grana Padano DOP; Prezzemolo; Basilico; Menta; Erba cipollina; Scorza di limone; Olio extravergine d'oliva; Aglio; 

Sfoglie classiche con composta di zucca e zenzero|Facile|Basso|Senza lattosio; |Zucca; Scalogno; Rosmarino; Zenzero fresco; Olio extravergine d'oliva; Pancetta affumicata; Sale fino; Vino bianco; La Bottega di Olivia&Marino; 

Sfoglie con luganega croccante e stracchino|Facile|Basso||Sfoglie croccanti al forno; Luganega; Stracchino; Vino bianco; Semi di finocchio; Olio extravergine d'oliva; 

Sfilati con crema al tonno e fiori di cappero|Facile|||Sfilati al pomodoro al forno; Tonno sott'olio; Formaggio fresco spalmabile; Panna fresca liquida; Aceto di vino bianco; Capperi; 

Ciambella salata alla robiola con piselli e prosciutto|Facile|Basso||Robiola; Farina 00; Latte intero; Uova; Olio di semi; Pisellini; Prosciutto cotto; Lievito istantaneo per preparazioni salate; Grana Padano DOP; Sale fino; Pepe nero; Cipolle bianche; Olio extravergine d'oliva; Burro; Farina 00; 

Barchette di patate e formaggio cremoso|Facile|Basso|Senza glutine; Vegetariano; |Patate novelle; Pomodori ramati; Stracchino; Maggiorana; Salvia; Rosmarino; Pepe nero; Sale fino; Scorza di limone; Olio di semi di girasole; 

Ostriche con spumante e cipollotto|Facile|Molto elevata||Ostriche; Spumante; Cipollotto fresco; Burro; Amido di mais (maizena); Pepe rosa; Pangrattato; Olio extravergine d'oliva; 

Bocconcini di mozzarella e sardine|Facile||Senza glutine; |Sardine sott'olio; Mozzarelline ciliegine; Pomodorini ciliegino; Patate dolci (o americane); Olio extravergine d'oliva; Rosmarino; Sale fino; 

Crocchette di pane cacio e pepe con coulis di pomodoro|Facile|Basso|Vegetariano; |Pane casereccio; Pecorino; Uova; Latte intero; Pepe nero; Pane casereccio; Rosmarino; Uova; Pomodori ramati; Sale fino; Basilico; Olio di semi di girasole; 

Chips di tuberi e maionese allo zenzero|Facile|Basso|Senza lattosio; Vegetariano; |Carote viola; Carote; Patate viola; Patate dolci (o americane); Patate; Barbabietole; Topinambur; Olio di semi; Olio di semi; Latte di soia; Zenzero fresco; Aceto di vino bianco; Sale fino; 

Sfoglie con speck e cavolo nero|Molto facile|Molto basso|Senza lattosio; |La Bottega di Olivia&Marino; Cavolo nero; Speck; Olio extravergine d'oliva; Sale fino; 

Sfoglia alle olive con cipolle caramellate|Facile|Basso||La Bottega di Olivia&Marino; Cipolline sott'aceto; Zucchero; Raspadura; Burro; Salsa di soia; Erba cipollina; 

Sfoglie alle olive con ricotta e peperoni grigliati|Facile|Basso||La Bottega di Olivia&Marino; Ricotta vaccina; Sale fino; Santoreggia; Peperoni rossi; Peperoni gialli; 

Sfoglie classiche con spinaci uvetta e pinoli|Molto facile|Basso|Senza lattosio; |La Bottega di Olivia&Marino; Spinaci; Uvetta; Pinoli; Aglio; Sale fino; Pepe nero; Olio extravergine d'oliva; 

Sfoglie classiche con fichi, grana e miele|Facile||Senza lattosio; |Fichi; Grana Padano DOP; Miele; La Bottega di Olivia&Marino; 

Sfoglie con topinambur trifolati|Facile|Basso|Senza lattosio; |Topinambur; Sale fino; Pepe nero; Prezzemolo; Timo; Maggiorana; Menta; La Bottega di Olivia&Marino; Olio extravergine d'oliva; 

Sfoglie alle olive con cipolle e pomodorini|Molto facile||Senza lattosio; |La Bottega di Olivia&Marino; Cipolle rosse di Tropea; Pomodorini ciliegino; Olio extravergine d'oliva; Aceto di vino bianco; Sale fino; Pepe nero; Menta; 

Cracker allo zafferano|Facile|Medio|Vegetariano; |Farina 00; Latte intero; Burro; Zafferano; Lievito di birra fresco; Sale fino; Crescenza; Zafferano in pistilli; 

Sformatini di pane guttiau al vino rosso e mele|Molto facile|||Mele Golden Delicious; Pane guttiau; Gorgonzola; Latte intero; Vino rosso; Burro; Rosmarino; Sale fino; Pepe nero; 

Sfoglia classica con scampi saltati al balsamico|Facile|Basso|Senza lattosio; |La Bottega di Olivia&Marino; Scampi; Aceto balsamico; Pepe rosa in grani; Olio extravergine d'oliva; Sale fino; 

Spianatine con julienne di verdure e Asiago|Facile|||La Bottega di Olivia&Marino; Carote; Sedano; Finocchi; Asiago; Zucchine; Olio extravergine d'oliva; Sale fino; Pepe nero; 

Sfoglie con crema di castagne e scamorza|Facile|Basso||Sfoglie croccanti al forno; Crema di castagne; Provola affumicata; Pinoli; 

Millefoglie Pantesca|Facile||Senza lattosio; |Tonno sott'olio; Pane guttiau; Capperi sotto sale; Pomodorini datterini; Finocchietto selvatico; Cipolle rosse; Olio extravergine d'oliva; Sale fino; Fagioli cannellini precotti; Olio extravergine d'oliva; Acqua; Sale fino; 

Torretta di patate su schiacciata|Molto facile|Molto basso||La Bottega di Olivia&Marino; Patate; Fontina; Rosmarino; Sale fino; Pepe nero; Olio extravergine d'oliva; 

Spianate piccanti|Molto facile|||La Bottega di Olivia&Marino; Paprika piccante; Provolone piccante; Marmellata di peperoncini; 

Schiacciate con torretta di verdure e fonduta |Molto facile|Basso||Emmentaler; Zucchine; Melanzane; Peperoni rossi; Sale fino; Pepe nero; La Bottega di Olivia&Marino; Fontina; Panna fresca liquida; Pepe nero; 

Spianatine con crema di asiago, radicchio e pancetta|Facile|Basso||La Bottega di Olivia&Marino; Radicchio; Asiago; Pancetta dolce; Latte intero; Burro; Olio extravergine d'oliva; Pepe bianco; Sale fino; Farina 00; 

Sfoglie alle olive con cubetti di frittata|Molto facile|Molto basso||La Bottega di Olivia&Marino; Uova; Scamorza (provola); Parmigiano Reggiano DOP; Prezzemolo; Sale fino; Pepe nero; 

Sfoglie alle olive con topinambur e raspadura|Molto facile|Basso||La Bottega di Olivia&Marino; Topinambur; Raspadura; Brodo vegetale; Prezzemolo; Olio extravergine d'oliva; Sale fino; Pepe nero; 

Torcelli con ricotta e Capocollo|Molto facile|||La Bottega di Olivia&Marino; Ricotta vaccina; Panna fresca liquida; Capocollo; Erba cipollina; Prezzemolo; Timo; Maggiorana; Pepe bianco; Sale fino; 

Sfilati al forno con prosciutto ed Emmental|Molto facile|Basso||Emmentaler; Prosciutto cotto; La Bottega di Olivia&Marino; 

Schiacciate con insalata di patate all'Asiago|Facile|Basso||La Bottega di Olivia&Marino; Patate; Asiago; Curry; Prezzemolo; Sale fino; Pepe nero; Olio extravergine d'oliva; 

Schiacciatine alle more e gorgonzola|Media|Medio|Vegetariano; |Acqua; Farina 00; Olio extravergine d'oliva; Lievito di birra fresco; Sale fino; More; Gorgonzola; Zucchero; Rosmarino; Olio extravergine d'oliva; Sale di maldon; 

Spaghetti alla Carbonara|Facile|Basso||Spaghetti; Guanciale; Tuorli; Pecorino romano; Pepe nero; 

Spaghetti Cacio e Pepe|Media|Basso|Vegetariano; |Spaghetti; Pecorino romano; Pepe nero in grani; 

Spaghetti all'Amatriciana|Facile|Basso||Spaghetti; Pomodori pelati; Guanciale; Pecorino romano; Vino bianco; Olio extravergine d'oliva; Sale fino; Peperoncino fresco; 

Spaghetti alle vongole|Facile|Medio|Senza lattosio; Light; |Spaghetti; Vongole; Aglio; Prezzemolo; Olio extravergine d'oliva; Pepe nero; Sale fino; Sale grosso; 

Gnocchi di patate|Facile|Molto basso|Senza lattosio; Vegetariano; |Patate rosse; Farina 00; Uova; Sale fino; Semola di grano duro rimacinata; Patate rosse; Farina 00; Sale fino; Semola di grano duro rimacinata; 

Pasta fresca all'uovo (sfoglia e formati)|Facile||Senza lattosio; Vegetariano; Light; |Uova; Farina 00; 

